item	category	src
ｙｏ，這位Ｂｒｏｔｈｅｒ	bracket	https://pttpedia.fandom.com/zh/wiki/G6m3kimo_%EF%BC%88%E7%A5%9E%E7%88%B6%E3%80%81%E7%A5%9E%E6%9C%A8%EF%BC%89
＿啦幹	bold	https://pttpedia.fandom.com/zh/wiki/%E5%86%8D%E5%95%A6%E5%B9%B9
ＹＹ跟街亭誰難守	bracket	https://pttpedia.fandom.com/zh/wiki/%E5%AE%88%E8%A1%97%E4%BA%AD
ＸＸ守得住街亭嗎？	bracket	https://pttpedia.fandom.com/zh/wiki/%E5%AE%88%E8%A1%97%E4%BA%AD
ＯＯ事件	bold	https://pttpedia.fandom.com/zh/wiki/Cigxm
Ｏ好Ｏ滿	link_title	https://pttpedia.fandom.com/zh/wiki/%E7%AC%AC%E4%B8%89%E5%B1%86%E6%89%B9%E8%B8%A2%E8%B8%A2%E6%B5%81%E8%A1%8C%E8%AA%9E%E5%A4%A7%E8%B3%9E
＝有情有義＝	bracket	https://pttpedia.fandom.com/zh/wiki/%E6%9C%89%E6%83%85%E6%9C%89%E7%BE%A9%E5%88%86%E9%9A%94%E7%B7%9A
＜3	title	https://pttpedia.fandom.com/zh/wiki/%EF%BC%9C3
３６＋４５＝７９似乎不是唯一解	link_new, link_title	https://pttpedia.fandom.com/zh/wiki/T2d
（香港）已經是共產黨的形狀了	bracket	https://pttpedia.fandom.com/zh/wiki/XXX%E7%9A%84%E5%BD%A2%E7%8B%80
（逃）	link_new, link_title	https://pttpedia.fandom.com/zh/wiki/%E4%BD%A0%E8%AA%B0%E5%95%8A%EF%BC%8C%E4%BA%82%E5%85%AC%E5%91%8A%E3%80%82
龜頭	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜透	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜豆貝	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜投	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜托	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜多	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龜兒子不要當抓耙仔，不要躲在牛坑出來，出來面對跟別人都沒關係 ，只有我跟你。	bracket	https://pttpedia.fandom.com/zh/wiki/%E5%87%BA%E4%BE%86%E9%9D%A2%E5%B0%8D
龜仔	bracket	https://pttpedia.fandom.com/zh/wiki/Cueto%E5%9C%A8%E6%A3%92%E7%90%83%E6%9D%BF
龍騎士	link_title, bold	https://pttpedia.fandom.com/zh/wiki/Sumade%EF%BC%88%E8%98%87%E7%BE%8E%E6%88%B0%E7%A5%9E%EF%BC%89, https://pttpedia.fandom.com/zh/wiki/%E8%BE%9B%E6%99%AE%E6%A3%AE%E5%AE%B6%E5%BA%AD%E4%B8%AD%E6%96%87%E7%89%88%E8%88%87ptt%EF%BC%88%E5%90%AB%E7%9B%B8%E9%97%9C%E6%A2%97%E6%95%B4%E7%90%86%EF%BC%89, https://pttpedia.fandom.com/zh/wiki/%E9%BE%8D%E9%A8%8E%E5%A3%AB
龍陽	link_new, link_title	https://pttpedia.fandom.com/zh/wiki/XXXXSHIT
龍王	bold	https://pttpedia.fandom.com/zh/wiki/Tsukiyomi157
